Timestamp,Usia,Domisili,Status Tempat Tinggal,Berapa jumlah orang dalam tempat tinggal Anda? ,Apakah tempat tinggal Anda memiliki kulkas? ,Seberapa sering Anda terlibat dalam membeli kebutuhan makanan rumah tangga? ,Kisaran pengeluaran rumah tangga untuk makanan dalam satu bulan ,Saya pernah lupa bahwa masih ada makanan tertentu di dalam kulkas.  ,Saya baru menyadari masih memiliki suatu bahan makanan setelah membeli produk yang sama. ,Saya pernah menemukan makanan di kulkas yang sudah kedaluwarsa atau tidak layak dikonsumsi. ,Saya memiliki bahan makanan di kulkas tetapi bingung harus mengolahnya menjadi makanan apa. ,"Sebelum berbelanja, saya selalu mengecek makanan yang masih tersedia di rumah. ",Saya pernah membeli makanan terlalu banyak hingga sebagian akhirnya tidak dikonsumsi. ,Saya kesulitan mengetahui seluruh isi kulkas tanpa mengeceknya satu per satu. ,Saya ingin dapat mengecek isi kulkas dari luar rumah tanpa harus melihatnya secara langsung. ,Saya sering kesulitan mengingat tanggal kedaluwarsa makanan yang disimpan di kulkas. ,Saya membutuhkan pengingat ketika makanan sudah mendekati tanggal kedaluwarsa. ,Akan membantu jika makanan di kulkas dapat otomatis diurutkan berdasarkan mana yang perlu digunakan terlebih dahulu. ,Keputusan saya memilih menu makanan belum selalu mempertimbangkan bahan yang sudah tersedia di rumah. ,Saya tertarik mendapatkan rekomendasi resep berdasarkan bahan yang sudah tersedia di kulkas. ,Saya akan lebih tertarik menggunakan suatu resep jika resep tersebut membantu menghabiskan bahan yang hampir kedaluwarsa. ,Mengetahui nilai uang dari makanan yang terbuang akan membuat saya lebih berhati-hati dalam membeli dan menggunakan makanan. ,Saya tertarik melihat laporan mengenai jumlah makanan dan uang yang berhasil saya hemat setiap bulan. ,Fitur FRISA mana yang paling berguna bagi Anda? Pilih maksimal 3.,Bagaimana cara yang paling nyaman bagi Anda untuk memasukkan makanan ke sistem FRISA? 
23/09/2026 10:49:56,18–22 tahun,Semarang,Tinggal bersama keluarga,5–6 orang,"Ya, kulkas pribadi",Sering,> Rp6.000.000,4,3,4,5,3,4,4,5,5,5,4,4,5,4,4,5,"Rekomendasi resep berdasarkan bahan tersedia, Peringatan pembelian barang yang sudah tersedia, Deteksi makanan melalui kamera",Scan barcode produk
23/09/2026 11:14:46,23–30 tahun,Jakarta,Kost / kontrakan,3–4 orang,"Ya, kulkas bersama",Sering,Rp1.000.000–Rp2.000.000,4,5,4,4,4,4,5,5,4,5,5,5,4,5,4,5,"Deteksi makanan melalui kamera, Mengetahui isi kulkas dari aplikasi, Pengingat makanan mendekati kedaluwarsa",Integrasi struk belanja / digital receipt
23/09/2026 11:27:02,31–40 tahun,Bekasi,Kost / kontrakan,3–4 orang,"Ya, kulkas pribadi",Kadang-kadang,Rp1.000.000–Rp2.000.000,4,4,5,4,4,3,4,5,4,5,4,3,5,5,4,5,"Rekomendasi resep berdasarkan bahan tersedia, Mengetahui isi kulkas dari aplikasi, Deteksi makanan melalui kamera",Integrasi struk belanja / digital receipt
23/09/2026 11:45:52,>50 tahun,Jakarta,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas pribadi",Jarang,Rp4.000.001–Rp6.000.000,4,3,4,4,4,3,4,5,4,5,5,5,4,4,4,4,"Pengingat makanan mendekati kedaluwarsa, Rekomendasi resep berdasarkan bahan tersedia, Mengetahui isi kulkas dari aplikasi",Scan barcode produk
23/09/2026 11:54:06,23–30 tahun,Tangerang,Tinggal bersama keluarga,5–6 orang,"Ya, kulkas pribadi",Hampir selalu,Rp2.000.001–Rp4.000.000,4,4,4,3,3,5,5,4,4,5,4,3,5,4,4,5,"Pengingat makanan mendekati kedaluwarsa, Rekomendasi resep berdasarkan bahan tersedia, Prioritas makanan yang harus segera digunakan",Integrasi struk belanja / digital receipt
23/09/2026 11:56:01,18–22 tahun,Bandung,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas pribadi",Sering,> Rp6.000.000,4,3,3,4,3,3,3,4,3,4,3,3,5,5,4,5,"Prioritas makanan yang harus segera digunakan, Deteksi makanan melalui kamera, Laporan makanan dan uang yang berhasil dihemat",Kamera FRISA mengenali makanan secara otomatis
23/09/2026 12:57:03,18–22 tahun,Jakarta,Tinggal bersama keluarga,5–6 orang,"Ya, kulkas pribadi",Hampir selalu,Rp1.000.000–Rp2.000.000,3,4,5,4,3,5,3,5,4,5,5,4,4,5,4,4,"Rekomendasi resep berdasarkan bahan tersedia, Pengingat makanan mendekati kedaluwarsa, Mengetahui isi kulkas dari aplikasi",Kamera FRISA mengenali makanan secara otomatis
23/09/2026 13:00:50,41–50 tahun,Tangerang,Tinggal bersama keluarga,5–6 orang,"Ya, kulkas pribadi",Hampir selalu,Rp4.000.001–Rp6.000.000,4,4,4,3,5,3,4,5,3,4,5,5,4,5,5,5,"Pengingat makanan mendekati kedaluwarsa, Mengetahui isi kulkas dari aplikasi, Rekomendasi resep berdasarkan bahan tersedia",Scan melalui kamera smartphone
23/09/2026 13:03:15,18–22 tahun,Bandung,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas bersama",Sering,Rp4.000.001–Rp6.000.000,4,5,4,5,4,5,5,4,4,4,4,3,4,5,5,5,"Deteksi makanan melalui kamera, Mengetahui isi kulkas dari aplikasi, Pengingat makanan mendekati kedaluwarsa",Integrasi struk belanja / digital receipt
23/09/2026 13:04:54,31–40 tahun,Jakarta,Kost / kontrakan,2 orang,"Ya, kulkas pribadi",Sering,Rp2.000.001–Rp4.000.000,5,5,4,5,3,5,5,4,5,5,5,4,4,4,5,5,"Rekomendasi resep berdasarkan bahan tersedia, Mengetahui isi kulkas dari aplikasi, Pengingat makanan mendekati kedaluwarsa",Integrasi struk belanja / digital receipt
23/09/2026 13:43:24,18–22 tahun,Bekasi,Tinggal bersama keluarga,5–6 orang,"Ya, kulkas pribadi",Tidak pernah,< Rp1.000.000,5,3,4,4,3,5,4,5,4,4,5,4,4,5,4,4,"Rekomendasi resep berdasarkan bahan tersedia, Pengingat makanan mendekati kedaluwarsa, Voice Assistant",Kamera FRISA mengenali makanan secara otomatis
23/09/2026 13:49:38,>50 tahun,Bekasi,Tinggal bersama keluarga,5–6 orang,"Ya, kulkas bersama",Jarang,Rp4.000.001–Rp6.000.000,4,5,5,4,3,4,4,5,4,5,4,3,5,5,5,5,"Prioritas makanan yang harus segera digunakan, Mengetahui isi kulkas dari aplikasi, Deteksi makanan melalui kamera",Integrasi struk belanja / digital receipt
23/09/2026 14:01:40,23–30 tahun,Bandung,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas pribadi",Hampir selalu,Rp1.000.000–Rp2.000.000,4,3,3,5,4,4,4,4,5,5,5,4,5,4,4,4,"Prioritas makanan yang harus segera digunakan, Pengingat makanan mendekati kedaluwarsa, Deteksi makanan melalui kamera",Kamera FRISA mengenali makanan secara otomatis
23/09/2026 14:20:14,18–22 tahun,Tangerang,Tinggal sendiri,1 orang,"Ya, kulkas pribadi",Kadang-kadang,Rp1.000.000–Rp2.000.000,4,4,4,3,4,4,4,5,5,5,3,5,4,5,4,5,"Pengingat makanan mendekati kedaluwarsa, Voice Assistant, Prioritas makanan yang harus segera digunakan",Kamera FRISA mengenali makanan secara otomatis
23/09/2026 14:21:36,18–22 tahun,Bandung,Kost / kontrakan,3–4 orang,"Ya, kulkas pribadi",Kadang-kadang,< Rp1.000.000,3,4,4,5,3,5,5,4,5,5,5,4,4,4,4,4,"Prioritas makanan yang harus segera digunakan, Deteksi makanan melalui kamera, Laporan makanan dan uang yang berhasil dihemat",Scan barcode produk
23/09/2026 14:22:04,18–22 tahun,Semarang,Tinggal sendiri,1 orang,"Ya, kulkas pribadi",Jarang,Rp1.000.000–Rp2.000.000,5,5,5,5,3,4,4,5,4,5,4,4,5,5,3,5,"Pengingat makanan mendekati kedaluwarsa, Rekomendasi resep berdasarkan bahan tersedia, Mengetahui isi kulkas dari aplikasi",Input secara manual melalui aplikasi
23/09/2026 14:31:40,23–30 tahun,Jakarta,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas pribadi",Jarang,Rp4.000.001–Rp6.000.000,4,4,3,3,3,4,5,5,3,5,5,4,5,5,5,5,"Rekomendasi resep berdasarkan bahan tersedia, Pengingat makanan mendekati kedaluwarsa, Peringatan pembelian barang yang sudah tersedia",Integrasi struk belanja / digital receipt
23/09/2026 14:31:52,18–22 tahun,Jakarta,Tinggal bersama keluarga,5–6 orang,"Ya, kulkas pribadi",Sering,< Rp1.000.000,5,5,4,5,3,4,4,5,4,5,5,3,4,4,5,5,"Pengingat makanan mendekati kedaluwarsa, Rekomendasi resep berdasarkan bahan tersedia, Prioritas makanan yang harus segera digunakan",Scan barcode produk
23/09/2026 14:34:23,23–30 tahun,Semarang,Tinggal bersama keluarga,5–6 orang,"Ya, kulkas pribadi",Hampir selalu,Rp4.000.001–Rp6.000.000,3,5,4,4,3,5,5,5,4,4,4,3,4,4,5,5,"Prioritas makanan yang harus segera digunakan, Rekomendasi resep berdasarkan bahan tersedia, Laporan makanan dan uang yang berhasil dihemat",Kamera FRISA mengenali makanan secara otomatis
23/09/2026 14:44:58,>50 tahun,Bandung,Kost / kontrakan,3–4 orang,"Ya, kulkas bersama",Hampir selalu,< Rp1.000.000,4,4,5,5,5,5,5,4,5,4,5,4,4,5,4,4,"Rekomendasi resep berdasarkan bahan tersedia, Pengingat makanan mendekati kedaluwarsa, Prioritas makanan yang harus segera digunakan",Integrasi struk belanja / digital receipt
23/09/2026 14:45:58,31–40 tahun,Yogyakarta,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas pribadi",Hampir selalu,Rp4.000.001–Rp6.000.000,5,5,4,4,3,4,4,4,4,5,4,4,4,4,5,4,"Pengingat makanan mendekati kedaluwarsa, Deteksi makanan melalui kamera, Voice Assistant",Scan melalui kamera smartphone
23/09/2026 15:11:54,23–30 tahun,Bekasi,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas pribadi",Kadang-kadang,Rp1.000.000–Rp2.000.000,4,5,3,3,3,3,5,4,3,4,4,5,4,4,4,5,"Laporan makanan dan uang yang berhasil dihemat, Deteksi makanan melalui kamera, Shopping List",Kamera FRISA mengenali makanan secara otomatis
23/09/2026 15:19:51,31–40 tahun,Jakarta,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas pribadi",Hampir selalu,Rp2.000.001–Rp4.000.000,5,4,4,3,3,3,5,4,5,4,4,4,4,4,5,4,"Deteksi makanan melalui kamera, Prioritas makanan yang harus segera digunakan, Laporan makanan dan uang yang berhasil dihemat",Scan melalui kamera smartphone
23/09/2026 15:25:55,18–22 tahun,Bekasi,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas pribadi",Hampir selalu,Rp2.000.001–Rp4.000.000,4,5,3,5,3,4,4,4,5,4,5,4,4,5,4,3,"Voice Assistant, Pengingat makanan mendekati kedaluwarsa, Rekomendasi resep berdasarkan bahan tersedia",Integrasi struk belanja / digital receipt
23/09/2026 15:37:55,23–30 tahun,Bandung,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas pribadi",Jarang,Tidak tahu / tidak ingin menjawab,5,4,4,4,4,5,3,5,4,5,5,4,4,4,4,5,"Laporan makanan dan uang yang berhasil dihemat, Rekomendasi resep berdasarkan bahan tersedia, Deteksi makanan melalui kamera",Scan melalui kamera smartphone
23/09/2026 15:42:07,18–22 tahun,Bandung,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas bersama",Sering,Rp2.000.001–Rp4.000.000,5,4,5,3,4,3,4,5,4,4,4,3,5,4,5,5,"Rekomendasi resep berdasarkan bahan tersedia, Prioritas makanan yang harus segera digunakan, Mengetahui isi kulkas dari aplikasi",Scan melalui kamera smartphone
23/09/2026 16:08:13,23–30 tahun,Yogyakarta,Kost / kontrakan,1 orang,"Ya, kulkas bersama",Sering,< Rp1.000.000,5,5,4,3,3,4,5,4,4,4,5,3,5,5,5,4,"Laporan makanan dan uang yang berhasil dihemat, Mengetahui isi kulkas dari aplikasi, Prioritas makanan yang harus segera digunakan",Kamera FRISA mengenali makanan secara otomatis
23/09/2026 16:16:38,23–30 tahun,Bandung,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas bersama",Sering,Rp4.000.001–Rp6.000.000,5,4,4,4,3,5,4,4,3,4,4,4,5,4,4,4,"Prioritas makanan yang harus segera digunakan, Deteksi makanan melalui kamera, Pengingat makanan mendekati kedaluwarsa",Scan melalui kamera smartphone
23/09/2026 17:10:23,41–50 tahun,Semarang,Tinggal bersama keluarga,5–6 orang,"Ya, kulkas pribadi",Hampir selalu,Rp4.000.001–Rp6.000.000,5,4,4,3,3,4,3,4,4,5,4,4,5,5,4,5,"Rekomendasi resep berdasarkan bahan tersedia, Peringatan pembelian barang yang sudah tersedia, Pengingat makanan mendekati kedaluwarsa",Kamera FRISA mengenali makanan secara otomatis
23/09/2026 17:13:38,23–30 tahun,Tangerang,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas pribadi",Sering,Rp2.000.001–Rp4.000.000,3,4,3,4,4,4,4,4,4,5,4,4,5,4,5,5,"Mengetahui isi kulkas dari aplikasi, Prioritas makanan yang harus segera digunakan, Pengingat makanan mendekati kedaluwarsa",Scan melalui kamera smartphone
23/09/2026 17:14:47,23–30 tahun,Tangerang,Lainnya,3–4 orang,"Ya, kulkas pribadi",Sering,Rp1.000.000–Rp2.000.000,3,4,5,4,4,3,3,5,4,4,4,5,5,5,5,5,"Rekomendasi resep berdasarkan bahan tersedia, Laporan makanan dan uang yang berhasil dihemat, Mengetahui isi kulkas dari aplikasi",Scan melalui kamera smartphone
23/09/2026 17:21:05,31–40 tahun,Bekasi,Tinggal bersama keluarga,5–6 orang,"Ya, kulkas pribadi",Hampir selalu,Rp2.000.001–Rp4.000.000,5,4,4,4,3,4,4,5,4,5,4,4,4,4,5,5,"Laporan makanan dan uang yang berhasil dihemat, Multiple Fridges, Mengetahui isi kulkas dari aplikasi",Kamera FRISA mengenali makanan secara otomatis
23/09/2026 17:59:03,18–22 tahun,Jakarta,Tinggal bersama keluarga,5–6 orang,"Ya, kulkas pribadi",Sering,Rp2.000.001–Rp4.000.000,5,4,4,4,4,5,5,5,4,5,4,4,4,5,4,5,"Pengingat makanan mendekati kedaluwarsa, Shopping List, Rekomendasi resep berdasarkan bahan tersedia",Input secara manual melalui aplikasi
23/09/2026 18:55:02,31–40 tahun,Jakarta,Tinggal sendiri,1 orang,"Ya, kulkas pribadi",Sering,Tidak tahu / tidak ingin menjawab,3,3,4,3,4,4,4,5,4,3,5,4,3,5,5,4,"Pengingat makanan mendekati kedaluwarsa, Laporan makanan dan uang yang berhasil dihemat, Mengetahui isi kulkas dari aplikasi",Scan melalui kamera smartphone
23/09/2026 18:59:34,31–40 tahun,Depok,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas pribadi",Kadang-kadang,< Rp1.000.000,4,5,5,4,4,4,4,4,3,4,5,3,4,4,4,5,"Prioritas makanan yang harus segera digunakan, Pengingat makanan mendekati kedaluwarsa, Rekomendasi resep berdasarkan bahan tersedia",Kamera FRISA mengenali makanan secara otomatis
23/09/2026 19:18:04,18–22 tahun,Tangerang,Tinggal bersama keluarga,5–6 orang,"Ya, kulkas pribadi",Kadang-kadang,Rp2.000.001–Rp4.000.000,4,4,4,4,3,4,5,5,4,5,4,3,5,5,3,5,"Prioritas makanan yang harus segera digunakan, Deteksi makanan melalui kamera, Rekomendasi resep berdasarkan bahan tersedia",Kamera FRISA mengenali makanan secara otomatis
23/09/2026 19:19:17,>50 tahun,Tangerang,Tinggal bersama teman,2 orang,"Ya, kulkas bersama",Kadang-kadang,< Rp1.000.000,4,4,3,3,3,4,4,5,4,4,4,4,4,3,5,5,"Voice Assistant, Pengingat makanan mendekati kedaluwarsa, Rekomendasi resep berdasarkan bahan tersedia",Kamera FRISA mengenali makanan secara otomatis
23/09/2026 19:44:29,41–50 tahun,Depok,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas pribadi",Sering,Rp2.000.001–Rp4.000.000,4,4,4,4,4,3,4,5,3,4,3,3,5,4,5,5,"Pengingat makanan mendekati kedaluwarsa, Mengetahui isi kulkas dari aplikasi, Rekomendasi resep berdasarkan bahan tersedia",Integrasi struk belanja / digital receipt
23/09/2026 19:57:44,<18 tahun,Semarang,Kost / kontrakan,>6 orang,"Ya, kulkas pribadi",Kadang-kadang,Rp1.000.000–Rp2.000.000,4,5,4,4,3,5,4,5,5,5,5,5,5,5,5,4,"Mengetahui isi kulkas dari aplikasi, Rekomendasi resep berdasarkan bahan tersedia, Laporan makanan dan uang yang berhasil dihemat",Perintah suara ke FRISA
23/09/2026 20:14:26,31–40 tahun,Bogor,Tinggal bersama keluarga,5–6 orang,"Ya, kulkas pribadi",Tidak pernah,Rp1.000.000–Rp2.000.000,5,3,5,4,3,4,4,5,4,5,5,3,4,5,4,5,"Laporan makanan dan uang yang berhasil dihemat, Prioritas makanan yang harus segera digunakan, Pengingat makanan mendekati kedaluwarsa",Kamera FRISA mengenali makanan secara otomatis
23/09/2026 20:22:29,18–22 tahun,Depok,Tinggal bersama teman,3–4 orang,"Ya, kulkas bersama",Sering,Rp2.000.001–Rp4.000.000,4,4,5,3,3,3,3,5,3,4,5,5,3,4,4,5,"Prioritas makanan yang harus segera digunakan, Pengingat makanan mendekati kedaluwarsa, Mengetahui isi kulkas dari aplikasi",Scan melalui kamera smartphone
23/09/2026 20:42:58,18–22 tahun,Jakarta,Tinggal sendiri,1 orang,"Ya, kulkas pribadi",Hampir selalu,Rp1.000.000–Rp2.000.000,4,4,5,4,4,4,5,4,5,5,5,4,5,4,5,5,"Laporan makanan dan uang yang berhasil dihemat, Deteksi makanan melalui kamera, Pengingat makanan mendekati kedaluwarsa",Scan barcode produk
23/09/2026 21:09:29,18–22 tahun,Bekasi,Kost / kontrakan,3–4 orang,"Ya, kulkas pribadi",Sering,< Rp1.000.000,5,4,3,3,5,4,4,4,4,5,4,4,5,4,5,4,"Deteksi makanan melalui kamera, Prioritas makanan yang harus segera digunakan, Rekomendasi resep berdasarkan bahan tersedia",Kamera FRISA mengenali makanan secara otomatis
23/09/2026 21:17:44,23–30 tahun,Jakarta,Kost / kontrakan,2 orang,"Ya, kulkas bersama",Kadang-kadang,Rp2.000.001–Rp4.000.000,4,4,3,4,3,4,3,4,3,4,5,3,5,5,5,5,"Deteksi makanan melalui kamera, Prioritas makanan yang harus segera digunakan, Pengingat makanan mendekati kedaluwarsa",Scan barcode produk
23/09/2026 21:18:43,41–50 tahun,Jakarta,Tinggal bersama keluarga,2 orang,"Ya, kulkas pribadi",Kadang-kadang,Tidak tahu / tidak ingin menjawab,4,4,4,3,5,4,4,3,4,5,5,4,5,5,5,4,"Deteksi makanan melalui kamera, Pengingat makanan mendekati kedaluwarsa, Mengetahui isi kulkas dari aplikasi",Kamera FRISA mengenali makanan secara otomatis
23/09/2026 21:25:38,23–30 tahun,Depok,Tinggal bersama keluarga,5–6 orang,"Ya, kulkas pribadi",Sering,Rp2.000.001–Rp4.000.000,4,4,5,3,4,4,4,5,5,5,4,4,4,5,4,4,"Pengingat makanan mendekati kedaluwarsa, Deteksi makanan melalui kamera, Prioritas makanan yang harus segera digunakan",Scan melalui kamera smartphone
23/09/2026 21:32:21,18–22 tahun,Jakarta,Tinggal bersama keluarga,5–6 orang,"Ya, kulkas pribadi",Sering,Tidak tahu / tidak ingin menjawab,4,4,5,3,4,4,4,4,4,4,5,4,4,4,5,4,"Pengingat makanan mendekati kedaluwarsa, Rekomendasi resep berdasarkan bahan tersedia, Prioritas makanan yang harus segera digunakan",Kamera FRISA mengenali makanan secara otomatis
23/09/2026 21:40:44,41–50 tahun,Jakarta,Tinggal bersama keluarga,5–6 orang,"Ya, kulkas pribadi",Hampir selalu,Rp2.000.001–Rp4.000.000,4,4,5,4,4,5,4,5,4,5,4,3,5,5,5,5,"Multiple Fridges, Prioritas makanan yang harus segera digunakan, Deteksi makanan melalui kamera",Kamera FRISA mengenali makanan secara otomatis
23/09/2026 21:50:15,23–30 tahun,Yogyakarta,Tinggal sendiri,1 orang,"Ya, kulkas pribadi",Sering,Rp4.000.001–Rp6.000.000,4,4,4,4,3,4,3,4,4,5,5,3,5,4,5,5,"Rekomendasi resep berdasarkan bahan tersedia, Pengingat makanan mendekati kedaluwarsa, Prioritas makanan yang harus segera digunakan",Integrasi struk belanja / digital receipt
23/09/2026 21:54:57,23–30 tahun,Bandung,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas pribadi",Hampir selalu,Rp1.000.000–Rp2.000.000,4,4,4,3,4,3,5,5,4,4,5,4,5,5,5,4,"Deteksi makanan melalui kamera, Rekomendasi resep berdasarkan bahan tersedia, Laporan makanan dan uang yang berhasil dihemat",Integrasi struk belanja / digital receipt
23/09/2026 22:06:51,>50 tahun,Bandung,Lainnya,2 orang,"Ya, kulkas pribadi",Kadang-kadang,Tidak tahu / tidak ingin menjawab,3,5,5,5,4,4,4,5,3,4,5,4,4,5,5,4,"Rekomendasi resep berdasarkan bahan tersedia, Mengetahui isi kulkas dari aplikasi, Peringatan pembelian barang yang sudah tersedia",Kamera FRISA mengenali makanan secara otomatis
23/09/2026 22:12:07,18–22 tahun,Jakarta,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas pribadi",Kadang-kadang,> Rp6.000.000,3,5,5,4,4,4,4,5,4,4,5,4,5,5,4,5,"Voice Assistant, Laporan makanan dan uang yang berhasil dihemat, Prioritas makanan yang harus segera digunakan",Scan melalui kamera smartphone
